time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1211,64,46.07,-25.560695939999995,38,77824,0.1251953125,-0.01208714586100541,0.2,1.3174723338335752,-2.0534351035952567,370,0.4072093665599823,0.0110424,0.9551310539245605,0.0003,,
1220,65,46.03,-25.23788113,39,79872,0.098779296875,-0.01284272653865628,0.2,1.1062712096609175,-2.0209047555923463,380,0.3202785849571228,0.0102406815,0.9657784104347229,0.0003,,
,,,,,80000,0.143115234375,-0.019441231671953572,0.2,1.3596646821126341,-2.0040323957800865,390,0.6052674651145935,0.012679731,0.9515096545219421,0.0003,46.0,-24.383333206176758
1229,66,46.05,-25.09862871,40,81920,,,,,,,,,,,,
1237,67,46.06,-24.741248989999995,41,83968,0.07978515625,-0.010309720796067267,0.2,1.150125699210912,-2.000908125936985,400,0.5103630423545837,0.0086741,0.9572290778160095,0.0003,,
1246,69,46.05,-24.84513087,42,86016,0.1337890625,-0.01231466960744001,0.2,1.0846672690473498,-2.000168990343809,410,0.2895098030567169,0.011016376,0.954767107963562,0.0003,,
1255,70,46.1,-24.673049390000003,43,88064,0.107568359375,-0.011147318307484966,0.2,1.3404538506641983,-1.9998021304607392,420,0.46600621938705444,0.010664187,0.9374997019767761,0.0003,,
,,,,,90000,0.106005859375,-0.011303890228737146,0.2,1.2223566088825464,-1.9706035919487477,430,0.5309805870056152,0.008471886,0.9573619365692139,0.0003,46.0,-22.776851707696913
1263,71,46.13,-24.187649239999992,44,90112,,,,,,,,,,,,
1272,72,46.08,-24.81560002,45,92160,0.14931640625,-0.013854053226532414,0.2,1.7651480201631784,-1.9792201895266772,440,0.5972050428390503,0.012235995,0.942530632019043,0.0003,,
1281,73,46.04,-26.090372629999997,46,94208,0.08876953125,-0.010483965155435726,0.2,1.226210173405707,-1.9867954865097999,450,0.16976387798786163,0.008070674,0.940986156463623,0.0003,,
1290,74,46.06,-25.587263789999998,47,96256,0.14970703125,-0.01612118630728219,0.2,1.1851457628421485,-1.9635832715779542,460,0.3388916850090027,0.011323221,0.9559729099273682,0.0003,,
1299,75,46.07,-25.508726250000006,48,98304,0.095556640625,-0.016918601785437203,0.2,1.1031040248461068,-1.9766369841992855,470,0.177983358502388,0.011263783,0.954663872718811,0.0003,,
,,,,,100000,0.139697265625,-0.014228943524358328,0.2,1.1024312425404788,-1.9565684746950864,480,0.3570472300052643,0.014259266,0.9407597780227661,0.0003,46.2,-24.445370316505432
1308,76,46.04,-25.889961879999998,49,100352,,,,,,,,,,,,
1317,77,46.01,-25.20449232,50,102400,0.130908203125,-0.012544467853149398,0.2,1.2911351106129587,-1.9546590089797973,490,0.14671222865581512,0.013317227,0.9506061673164368,0.0003,,
1325,78,46.05,-24.02246058,51,104448,0.152099609375,-0.013888549080002121,0.2,0.9951834614388645,-1.9507353365421296,500,0.5764486193656921,0.014031859,0.950376033782959,0.0003,,
1335,79,46.07,-23.82978819000001,52,106496,0.1662109375,-0.0170993420179002,0.2,0.6230352726299315,-1.925529867783189,510,0.24209201335906982,0.014478257,0.9638473391532898,0.0003,,
1344,80,46.06,-24.461360690000003,53,108544,0.142822265625,-0.009478866070276126,0.2,0.5635473549831659,-1.9413451056927442,520,0.375334769487381,0.0147945285,0.9751547574996948,0.0003,,
,,,,,110000,0.120654296875,-0.014342289335036184,0.2,1.0486855934374035,-1.8885772276669741,530,0.34772464632987976,0.010209493,0.9426282644271851,0.0003,46.0,-23.71044968366623
1353,81,46.06,-24.63445394,54,110592,,,,,,,,,,,,
1361,82,46.04,-23.99385809,55,112640,0.102978515625,-0.010093075144686737,0.2,0.6675172246992588,-1.8833869729191064,540,0.049510080367326736,0.011612149,0.965290904045105,0.0003,,
1370,83,46.04,-25.609004719999994,56,114688,0.123193359375,-0.01292824066185858,0.2,1.2803980064578355,-1.8647783800959588,550,0.6159071326255798,0.011315996,0.9457240700721741,0.0003,,
1379,84,46.04,-26.00453626,57,116736,0.107275390625,-0.010327993248938582,0.2,0.9573851533234119,-1.876001226529479,560,0.20598305761814117,0.012335377,0.9550591707229614,0.0003,,
1388,85,46.0,-24.585677509999996,58,118784,0.16953125,-0.016962170202168635,0.2,1.122535737324506,-1.842619999498129,570,0.17055222392082214,0.013251068,0.9573189616203308,0.0003,,
,,,,,120000,0.11962890625,-0.01362935233337339,0.2,0.994552262686193,-1.8441363044083119,580,0.18728427588939667,0.011273127,0.9455320239067078,0.0003,46.0,-21.037592643499373
1398,86,46.01,-25.263388480000003,59,120832,,,,,,,,,,,,
1407,87,46.02,-24.87926612,60,122880,0.115576171875,-0.0127355431613978,0.2,1.1098645185120404,-1.794754983484745,590,0.393025666475296,0.010301142,0.950872540473938,0.0003,,
1416,88,46.03,-25.076457269999995,61,124928,0.114208984375,-0.011045817744161468,0.2,0.8754589796997607,-1.8607938405126334,600,0.3427840769290924,0.0108010005,0.9458217024803162,0.0003,,
1425,89,46.07,-25.010367389999995,62,126976,0.12001953125,-0.015517609694506973,0.2,1.4354347871616482,-1.8447223775088788,610,0.22598442435264587,0.0097584,0.9362764358520508,0.0003,,
1434,89,46.08,-24.550285310000003,63,129024,0.139306640625,-0.014521577986306511,0.2,0.5324948055204004,-1.8412039384245873,620,0.08787383884191513,0.011836691,0.9631848931312561,0.0003,,
